# This file is called loops.dat
# Filesize  MUPSV0 MUPSV2 MUPSV3 MUPSV4 MUPSV8
  1         853 1588 1720 1478 1369 
  2         869 1670 1854 1946 1396 
  3         875 1707 1905 2004 2130 
  4         878 1724 1919 2034 2187 
  5         879 1734 1937 2052 2077 
  6         881 1740 1950 2065 2244 
  7         882 1745 1951 2074 2139 
  8         882 1748 1958 2081 2260 
  10         883 1754 1965 2090 2291 
  11         882 1756 1966 2093 2298 
  13         884 1758 1972 2099 2169 
  16         884 1761 1976 2104 2247 
  19         885 1764 1979 2108 2326 
  23         885 1765 1983 2112 2332 
  27         885 1767 1985 2114 2198 
  32         886 1768 1987 2116 2295 
  38         886 1769 1987 2118 2328 
  45         886 1769 1987 2120 2341 
  54         886 1770 1991 2122 2346 
  64         886 1771 1991 2123 2345 
  76         886 1771 1992 2124 2271 
  91         886 1772 1993 2125 2337 
  108         887 1772 1993 2125 2353 
  128         886 1772 1993 2125 2354 
  152         887 1772 1993 2126 2354 
  181         886 1766 1984 2115 2175 
  215         884 1753 1966 2069 2285 
  256         886 1751 1966 2090 2308 
  304         885 1745 1956 2079 2293 
  362         885 1736 1945 2066 2279 
  431         885 1733 1941 2042 2032 
  512         884 1733 1941 2061 2274 
  609         884 1733 1940 2062 2119 
  724         884 1732 1940 2026 2274 
  861         884 1732 1937 2061 2150 
  1024         884 1732 1940 2027 2165 
  1218         884 1732 1940 2061 2274 
  1448         884 1732 1941 1980 2275 
  1722         884 1732 1939 2060 2274 
  2048         885 1731 1938 2034 2063 
  2435         882 1722 1926 2043 2137 
  2896         883 1720 1923 2039 2245 
  3444         885 1734 1944 1994 2274 
  4096         885 1729 1943 2058 2236 
  4871         883 1726 1933 2049 2257 
  5793         885 1735 1944 2049 2239 
  6889         883 1729 1936 2052 2260 
  8192         886 1734 1944 2062 2229 
  9742         881 1721 1926 2040 1953 
  11585         875 1692 1886 1992 2181 
  13777         853 1602 1764 1849 1997 
  16384         844 1563 1705 1776 1912 
  19484         842 1555 1697 1776 1798 
  23170         841 1549 1689 1767 1896 
  27554         841 1545 1684 1731 1790 
  32768         841 1545 1684 1765 1886 
  38968         841 1545 1684 1725 1892 
  46341         841 1545 1684 1708 1865 
  55109         841 1545 1683 1765 1866 
  65536         841 1545 1684 1708 1892 
  77936         839 1545 1680 1668 1890 
  92682         841 1545 1683 1703 1892 
  110218         841 1545 1683 1722 1875 
  131072         841 1545 1683 1764 1893 
