# This file is called loops.dat
# Filesize  MUPSV0 MUPSV2 MUPSV3 MUPSV4 MUPSV8
  1         119 166 208 274 435 
  2         135 197 257 306 507 
  3         138 201 263 363 568 
  4         139 203 266 367 574 
  5         139 204 267 370 577 
  6         140 204 269 371 579 
  7         140 206 270 373 581 
  8         140 206 270 373 582 
  10         141 207 271 375 583 
  11         141 207 271 375 493 
  13         141 208 272 376 586 
  16         141 208 273 377 587 
  19         141 208 273 375 587 
  23         141 208 273 378 588 
  27         142 209 273 376 588 
  32         142 209 274 378 589 
  38         142 209 273 378 589 
  45         142 209 274 378 589 
  54         142 209 274 378 589 
  64         142 209 274 379 589 
  76         142 209 274 379 590 
  91         142 209 274 379 590 
  108         142 209 274 379 590 
  128         142 209 274 379 590 
  152         139 204 270 374 586 
  181         141 208 273 363 588 
  215         141 208 273 377 587 
  256         141 207 271 375 585 
  304         139 205 269 372 582 
  362         139 203 268 371 580 
  431         140 205 268 371 580 
  512         139 205 268 356 549 
  609         140 205 268 371 580 
  724         139 205 268 371 561 
  861         140 204 267 371 564 
  1024         140 202 268 371 580 
  1218         140 205 268 371 580 
  1448         140 205 267 368 569 
  1722         140 205 268 371 572 
  2048         140 205 268 371 580 
  2435         139 203 267 369 578 
  2896         139 203 269 372 551 
  3444         140 205 269 372 582 
  4096         140 205 259 369 581 
  4871         139 204 268 354 563 
  5793         138 203 264 370 564 
  6889         140 205 268 371 581 
  8192         140 206 267 372 570 
  9742         139 203 259 360 562 
  11585         137 199 259 362 569 
  13777         129 190 249 347 540 
  16384         130 186 243 338 542 
  19484         128 185 241 336 536 
  23170         129 185 241 336 539 
  27554         129 184 239 318 420 
  32768         131 185 237 332 537 
  38968         131 183 242 329 538 
  46341         130 188 240 330 532 
  55109         130 188 239 333 534 
  65536         131 188 246 338 539 
  77936         135 188 242 338 529 
  92682         135 187 244 339 544 
  110218         135 192 246 344 544 
  131072         135 194 249 340 540 
