# This file is called loops.dat
# Filesize(KiB)  Normal   SSE   AVX
  1         783786 791383 794277 
  2         434238 425279 425314 
  3         284642 281674 285578 
  4         194696 192862 177294 
  5         162360 145142 145700 
  6         144140 133721 134050 
  7         123398 111343 111533 
  8         107529 96344 96151 
  10         83548 77741 76636 
  11         76947 71299 70234 
  13         64090 58818 59909 
  16         34730 35432 35431 
  19         36532 38798 38021 
  23         29437 31935 31070 
  27         24362 26810 26557 
  32         21286 22834 22717 
  38         17536 18835 19174 
  45         15272 16097 16074 
  54         12891 13680 13692 
  64         10797 11378 11385 
  76         8615 9133 9137 
  91         7455 8023 8054 
  108         6194 6589 6483 
  128         4213 4429 4431 
  152         4369 4618 4676 
  181         3338 3767 3773 
  215         2905 3222 3330 
  256         1952 2188 2189 
  304         2228 2464 2447 
  362         1418 1537 1538 
  431         1517 1598 1647 
  512         301 623 623 
  609         1100 1208 1207 
  724         931 1013 1010 
  861         782 834 832 
  1024         643 679 677 
  1218         433 458 458 
  1448         439 466 464 
  1722         352 347 343 
  2048         47 109 109 
  2435         240 240 236 
  2896         200 205 193 
  3444         162 168 169 
  4096         135 139 137 
  4871         100 102 102 
  5793         99 101 101 
  6889         84 83 85 
  8192         70 69 70 
  9742         58 58 59 
  11585         47 49 50 
  13777         43 44 44 
  16384         34 34 34 
  19484         25 32 32 
  23170         24 25 25 
  27554         21 21 21 
  32768         17 18 18 
  38968         14 15 15 
  46341         12 12 13 
  55109         10 10 10 
  65536         8 8 8 
  77936         6 6 6 
  92682         5 5 5 
  110218         4 4 4 
  131072         3 4 3 
