# This file is called loops.dat
# Filesize(KiB)  Normal   SSE   AVX
  1         687667 817910 830203 
  2         390028 472368 435578 
  3         230722 233876 234796 
  4         182021 225468 207011 
  5         169746 166394 159672 
  6         113607 114699 102922 
  7         97253 97927 88483 
  8         98118 112237 100007 
  10         67486 68026 61626 
  11         60960 61458 55011 
  13         51589 52051 52148 
  16         38761 41368 37452 
  19         39396 44375 43480 
  23         28159 27289 24739 
  27         25956 31095 29901 
  32         21116 23468 25076 
  38         18851 21550 21110 
  45         15949 18747 18118 
  54         9975 14004 14364 
  64         7840 11768 12492 
  76         7111 9580 9965 
  91         5904 7626 8794 
  108         6358 7765 7396 
  128         5660 6737 6283 
  152         4758 5671 5281 
  181         3002 3534 3278 
  215         2671 3960 3687 
  256         2059 2504 2915 
  304         1804 2483 2651 
  362         1383 1749 1601 
  431         1431 1998 1818 
  512         1306 1678 1566 
  609         891 1059 959 
  724         710 884 805 
  861         703 974 894 
  1024         626 826 758 
  1218         585 692 637 
  1448         490 601 529 
  1722         313 376 338 
  2048         43 231 352 
  2435         288 350 326 
  2896         242 292 272 
  3444         206 250 224 
  4096         126 152 138 
  4871         122 161 150 
  5793         118 138 126 
  6889         95 111 103 
  8192         77 94 86 
  9742         66 83 74 
  11585         59 69 62 
  13777         48 57 52 
  16384         41 48 43 
  19484         34 41 38 
  23170         29 33 30 
  27554         25 28 26 
  32768         20 21 21 
  38968         17 20 18 
  46341         14 17 15 
  55109         12 14 13 
  65536         10 12 11 
  77936         8 10 9 
  92682         7 8 7 
  110218         6 7 5 
  131072         4 6 5 
