# This file is called loops.dat
# Filesize(KiB)  Normal   SSE   AVX
  1         708 1351 1101 
  2         596 1397 1492 
  3         701 1609 1435 
  4         691 1421 1335 
  5         654 1537 1419 
  6         697 1656 1517 
  7         660 1566 1658 
  8         696 1604 1661 
  10         690 1395 1542 
  11         693 1471 1623 
  13         686 1729 1798 
  16         672 1401 1440 
  19         665 1583 1670 
  23         665 1546 1531 
  27         663 1656 1701 
  32         558 1452 1640 
  38         574 1456 1639 
  45         569 1495 1570 
  54         563 1478 1618 
  64         506 1412 1433 
  76         563 1492 1529 
  91         575 1473 1509 
  108         554 1471 1570 
  128         531 1452 1574 
  152         559 1500 1605 
  181         542 1473 1546 
  215         517 1410 1549 
  256         543 1482 1549 
  304         540 1411 1604 
  362         542 1407 1524 
  431         551 1391 1488 
  512         546 1393 1552 
  609         555 1402 1558 
  724         539 1403 1564 
  861         554 1364 1511 
  1024         544 1436 1526 
  1218         551 1462 1613 
  1448         560 1495 1618 
  1722         562 1500 1612 
  2048         90 381 644 
  2435         555 1440 1584 
  2896         542 1317 1408 
  3444         564 1111 1148 
  4096         559 919 919 
  4871         570 774 770 
  5793         560 828 755 
  6889         553 759 754 
  8192         560 740 741 
  9742         568 730 739 
  11585         556 793 1021 
  13777         562 747 750 
  16384         557 705 695 
  19484         566 816 760 
  23170         544 717 713 
  27554         550 739 820 
  32768         553 742 743 
  38968         553 819 823 
  46341         561 741 809 
  55109         562 1048 784 
  65536         550 996 773 
  77936         557 755 1010 
  92682         568 833 766 
  110218         571 815 792 
  131072         556 797 787 
